what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338930701283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338930701791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338930703412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338930703722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338930704105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338930745012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338930789370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338930791875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338930805347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338930918212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338930955092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931012558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931013702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931048083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931049506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931050243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931050794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931051330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1338931093723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931143131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931187419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931212992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931217376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931220326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931330723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931331014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931331841
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338931378386
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338931396132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931410980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931414049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338931436705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931439831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931467224
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1338931489987
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338931490591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931559173
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338931578109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931582806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931591847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931592551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931593770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931594465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931594797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931794690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931808096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931866763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931868653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931896206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931899009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1338931900492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338931903511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931904877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931905837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931906407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338931907680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338931934068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338931934817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932053211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932056661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932057516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932076629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932264905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932291166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932291701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932294739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932297969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932335640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932378541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338932385718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932413887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932444457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932448266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932453570
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1338932453694
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338932462391
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338932464854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1338932553286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1338932559875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932614039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932644274
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338932653806
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338932673357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338932799325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932800337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932803003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932803544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338932811831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932813315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932814085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932814947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338932824051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338932826204
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338932888407
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338932889774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932943069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338932966334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338933109113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338933201507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933202797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338933221918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933223258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338933245925
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338933248958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933322028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933351761
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933362497
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933375796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338933461662
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933462973
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933466226
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338933480623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933560731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933573205
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933587895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933613523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933622787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933623864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933639018
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338933641019
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933650060
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338933719807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933763512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933770727
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338933774514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933778153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933784710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933804573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933809220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933819712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933828792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933831772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933842812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933848779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338933855304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933856704
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1338933866876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933868090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933868237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933892055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338933909626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338933966837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933967768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338933974470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338933975994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934028672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934028834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1338934084523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1338934084733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934102029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934107790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934127265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934177877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338934236152
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934241649
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934262811
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934301240
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934306188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934307064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934318634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338934358561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338934360292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338934362953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338934368910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338934370514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1338934396008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338934429188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1338934433433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1338934436041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338934444409
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934463353
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934468988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934527927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934539400
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934565609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934565769
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934577969
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934578111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934585696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934590530
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934604289
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934604418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934615025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934629604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934636979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934643586
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934646772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934689647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934693940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934700969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934738296
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934739363
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934763254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934856888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934876080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934913074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934927224
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934927928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338934958917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934960082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338934970375
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1338934972433
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338934997952
